Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Desvio Padrão temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Desvio Padrão Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
RETANGULO,65,2025-06-16 09:50:36/10:29:07,100.0,-0.3288068181818172,1.6961311428943524,0.8199999999999932,0.0018749999999998,0.0124857061131062,4.545454545454546,43.92643877109476,100.57142857142858,67.10795454545455,13.513368801436464,29.352272727272727,5.091258104919558,NOK
QUADRADO,66,2025-06-17 09:17:50/09:28:35,194.8,-0.4028712871287134,2.3996859530503847,3.3700000000000045,0.0005940594059404,0.0109381700643401,4.950495049504951,79.47162790697674,101.0,69.74257425742574,15.335353576195455,33.801980198019805,3.649711774867156,NOK
QUADRADO,67,2025-06-17 09:42:45/09:51:00,200.0,-0.043950617283951,0.3258860192319771,1.6299999999999957,-0.0013580246913581,0.0146418139603461,0.0,80.3490909090909,101.25,72.25925925925925,7.2797283221590385,31.839506172839503,4.662233343912166,NOK
QUADRADO,68,2025-06-17 09:56:19/10:06:58,200.0,-0.3117821782178207,1.703521878955244,1.8600000000000136,0.0017821782178214,0.0114364364733042,3.96039603960396,80.30046948356807,101.0,72.5940594059406,15.38712332947376,29.861386138613863,3.6552146393072382,NOK
QUADRADO,69,2025-06-17 10:18:46/10:29:23,200.0,-0.3321782178217834,2.199689798112633,1.8700000000000043,0.0015841584158414,0.0116389581378513,2.9702970297029703,80.54034536891679,101.0,72.06930693069307,12.811914318900648,29.574257425742573,3.9021699979715527,NOK
QUADRADO,70,2025-06-17 10:42:23/10:53:00,200.0,-0.0052427184466013,0.3683983475410399,1.5300000000000011,-6.884999582323483e-17,0.0147528661223348,0.0,80.54034536891679,100.98039215686272,70.33980582524272,7.778241897803773,31.932038834951456,5.124455276498176,NOK
QUADRADO,71,2025-06-17 11:04:25/11:15:01,200.0,-0.0118269230769224,0.2114800567754358,1.0900000000000034,-0.0011538461538461,0.0130203494433361,0.0,80.61037735849057,100.97087378640776,70.15384615384616,4.572542006727335,32.95192307692308,4.7077292522480505,NOK
QUADRADO,72,2025-06-17 11:28:04/11:38:43,200.0,-0.145728155339806,0.8669267354232763,1.6699999999999875,0.0010679611650484,0.0135699076939381,3.883495145631068,80.35117370892019,100.98039215686272,70.5631067961165,12.283154336295992,30.58252427184466,4.632629947691509,NOK
QUADRADO,73,2025-06-18 10:26:49/10:40:22,151.0,-0.0126785714285703,0.1649514378051208,0.5099999999999909,0.0011607142857141,0.0126452309647501,0.0,62.69446494464944,100.9009009009009,70.33035714285714,3.998622269167226,30.0625,4.047646964094812,OK
RETANGULO,74,2025-06-18 13:19:22/13:39:48,199.69753086419752,-0.1574074074074067,1.3342448747449982,1.6899999999999975,0.0017901234567898,0.0125061138334212,1.851851851851852,82.80342577487765,100.62111801242236,71.00617283950618,11.313432303207446,31.635802469135804,5.062045069309495,NOK
QUADRADO,75,2025-06-18 14:16:43/14:28:52,181.1320754716981,-0.0210280373831773,0.5662903691794141,3.6599999999999966,-5.308578083867717e-16,0.0125141429424831,2.803738317757009,70.3037037037037,100.9433962264151,70.19626168224299,12.28009530134525,30.560747663551403,4.205067854641673,OK
RETANGULO,76,2025-06-23 12:58:32/13:16:06,200.0,-0.0102816901408445,0.1150759457027947,0.4600000000000079,-0.0016197183098591,0.0115860838477536,0.0,83.48937381404174,100.70921985815602,70.59859154929578,2.98948478484058,29.91549295774648,4.281732528219443,NOK
QUADRADO,77,2025-06-23 13:48:11/14:07:53,100.0,-0.0184615384615372,0.2577576226660232,0.6100000000000136,-0.0010256410256414,0.012620769375464,0.0,43.42284263959391,100.86206896551724,69.21367521367522,6.53482588194954,30.47008547008547,4.202980571247869,NOK
L,78,2025-06-23 15:10:22/16:07:39,100.0,-0.0028389830508466,0.1949009337156111,1.039999999999992,-0.0005508474576273,0.0130185448463742,0.0,44.053651440209485,100.4255319148936,69.33898305084746,4.776218283231327,29.11864406779661,4.568475683257804,OK
QUADRADO,79,2025-06-24 09:04:48/09:24:30,100.0,-0.1080172413793096,0.9014502516622256,2.6699999999999875,-0.0014655172413793,0.0119603919046468,3.4482758620689653,43.44517766497462,100.8695652173913,70.87068965517241,11.464523860428171,32.76724137931034,4.13333796811012,NOK
RETANGULO,80,2025-06-24 10:28:37/10:49:01,199.3827160493827,-0.0673456790123444,0.6689463237896208,1.4799999999999898,0.0014197530864196,0.0111937917548833,1.2345679012345678,82.92696078431374,100.62111801242236,71.40123456790124,11.033804565374185,31.7283950617284,3.828667107246608,OK
L,81,2025-06-24 12:08:39/12:39:06,198.0090909090909,-0.0009090909090903,0.1072065003016714,1.1699999999999875,0.0006363636363636,0.0124436463204499,0.0,82.70311986863712,100.4566210045662,71.27727272727273,2.9671614924942107,30.92727272727273,4.144003955563711,NOK
RETANGULO,82,2025-06-24 12:57:02/13:16:13,200.0,-0.0040384615384613,0.1554837564222266,0.5900000000000034,0.0010897435897432,0.0118905610681106,0.0,83.1763683753258,100.64516129032258,70.72435897435898,3.819430320549367,32.26282051282051,4.298705250664743,NOK
QUADRADO,83,2025-06-24 13:48:37/14:00:51,180.18867924528303,-0.0900934579439256,0.905876512188144,0.8600000000000136,0.0001869158878499,0.0128107640774302,0.9345794392523364,69.95967302452316,100.9433962264151,70.8411214953271,6.407762881495928,33.19626168224299,4.705354742379272,NOK
RETANGULO,84,2025-06-24 14:17:53/14:40:56,184.02366863905328,0.0058235294117637,0.3063811941511462,2.3300000000000125,0.0002941176470585,0.0113797531502762,0.5882352941176471,73.40173535791757,100.59171597633136,70.57058823529412,6.792640004579473,32.50588235294118,4.252736061613266,NOK
L,85,2025-06-24 15:43:57/16:14:06,200.0,-0.0377678571428565,0.7828529059315245,7.560000000000002,0.0001785714285712,0.0116358918102178,2.232142857142857,83.64809286898839,100.44843049327356,73.07589285714286,11.352033029715493,30.040178571428573,4.195149020510728,NOK
