Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Desvio Padrão temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Desvio Padrão Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,Resultado
QUADRADO,86,2025-06-25 09:35:18/09:45:58,200.0,-0.0163725490196065,0.1033478143171456,0.4600000000000079,0.0003921568627446,0.0122613106908006,0.0,80.1928125,100.990099009901,71.05882352941177,2.896988977691601,33.94117647058823,4.4982362427158575,NOK
QUADRADO,87,2025-06-25 10:01:40/10:12:17,200.0,-0.0098979591836728,0.0986872065571835,0.539999999999992,0.0009183673469384,0.0111305963284338,0.0,80.54034536891679,101.03092783505154,70.58163265306122,3.0491623638955354,33.173469387755105,4.232971976848558,OK
QUADRADO,88,2025-06-25 10:32:23/10:43:04,200.0,-0.0123999999999986,0.0865864430567059,0.4900000000000091,0.0004999999999996,0.0129782257429254,0.0,80.13790951638065,101.010101010101,70.65,2.5873624493766707,32.43,4.969106579861233,OK
RETANGULO,89,2025-06-25 10:51:03/11:11:23,200.0,-0.0031055900621103,0.0734526720484421,0.5600000000000023,-0.0002484472049691,0.0128913881408776,0.0,83.04983606557379,100.625,70.57142857142857,2.399776775333192,31.428571428571427,4.326826616751424,OK
L,90,2025-06-25 11:27:21/11:57:40,200.0,0.0008636363636368,0.0690422380511976,0.5600000000000023,0.0013636363636363,0.0113859059497423,0.0,83.29972512369433,100.4566210045662,70.40454545454546,2.485570646004779,30.222727272727276,4.362609061653768,OK
QUADRADO,91,2025-06-25 13:55:22/14:08:53,150.46296296296296,0.0002777777777783,0.0969965635130107,0.6200000000000045,0.0020370370370366,0.0123620809471709,0.0,63.3062885326757,100.93457943925232,70.33333333333333,2.951318412816851,31.97222222222222,4.360953195413322,OK
RETANGULO,92,2025-06-25 15:11:21/15:37:31,150.0,0.0017159763313629,0.0755142042324269,0.6800000000000068,0.0010059171597632,0.0134803636031842,0.0,64.6459872611465,100.59523809523807,70.3491124260355,2.623613428424424,30.28402366863905,4.456380433812292,NOK
QUADRADO,93,2025-06-30 09:50:01/10:09:38,100.0,-0.09724137931034361,0.668059599276822,1.740000000000009,0.00017241379310329157,0.013120363106102895,1.7241379310344827,43.480883602378924,100.8695652173913,68.77586206896552,11.70364952883728,28.663793103448278,4.47397103160092,NOK
RETANGULO,94,2025-06-30 10:27:44/10:48:07,200.0,0.012650602409639718,0.2979204056296639,1.8199999999999927,0.0029518072289154143,0.012223577430481511,0.0,82.97367130008176,100.60606060606061,70.21686746987952,6.183160303591124,28.927710843373493,4.374258399567261,NOK
L,95,2025-06-30 11:01:32/11:49:28,120.0,-0.0064830508474575076,0.32321510479373133,1.6299999999999957,0.00029661016949155636,0.011573858527997949,0.0,52.631432545201676,100.42553191489361,69.77966101694915,7.573341366865063,28.20762711864407,4.370513515369494,NOK
QUADRADO,96,2025-06-30 12:51:35/13:08:11,120.0,-0.005132743362830703,0.3256726967925871,2.280000000000001,0.0006194690265482973,0.011823341460305165,0.8849557522123894,51.55903614457831,100.89285714285714,70.00884955752213,7.132039849486611,29.991150442477878,4.184357723417313,NOK
