Tipo de Peça,id_peça,Data,Speed Factor,Média Delta temp_nozzle,Máximo Delta temp_nozzle,Média Delta Mesa (°C),Tempo Fora do Intervalo Extrusora (%),Taxa de Extrusão (mm/min),Tempo Ativo de Extrusão (%),Variação X,Variação Y,Variação Z,X_max,X_min,Y_max,Y_min,Média PWM Extrusora,Desvio Padrão PWM Extrusora,Média PWM Bed,Desvio Padrão PWM Bed,d1,d2,d3,d4,d5,d6,d7,Resultado
RETANGULO,18,2025-05-15 10:35:33/11:14:39,150.0,-0.15065743944636617,2.219999999999999,0.0011764705882353046,1.384083044982699,66.43503836317136,100.34722222222223,18.61000811124786,35.38226535128706,1.121042314464051,145.29,74.59,169.74,49.51,70.31141868512111,7.466120775789622,33.280276816608996,4.559139773977329,99.0,49.7,12.0,,,,,OK
QUADRADO,19,2025-05-15 12:49:44/13:04:29,275.0,0.0707692307692306,4.879999999999996,0.0020979020979019266,1.3986013986013985,91.20406779661018,100.70422535211267,18.457381789127165,19.173615794052658,1.1491833953357635,145.49,83.38,144.9,74.32,69.74825174825175,11.692340415283878,34.39160839160839,4.279059665418417,49.4,49.7,12.3,,,,,OK
RETANGULO,20,2025-05-15 13:51:48/14:19:21,275.0,-0.12371212121212012,1.9199999999999875,0.0006818181818180184,1.5151515151515151,94.21125226860254,100.38022813688212,19.593083431523716,34.69726838811523,1.1708602391980831,145.63,74.71,169.74,49.81,71.35984848484848,8.914638364132763,33.553030303030305,4.0497183752985,98.9,49.5,12.1,,,,,OK
L,21,2025-05-15 15:20:24/16:39:21,100.0,-0.04354838709677355,1.2299999999999898,0.0005990783410136886,0.6912442396313364,48.59670677644078,100.2309468822171,33.527376813153765,32.90063755932084,1.1413004905079924,169.11,50.26,170.53,50.52,69.55069124423963,5.795073322207537,31.8963133640553,4.064245638847704,98.7,99.3,49.2,49.2,49.4,49.4,12.3,OK
L,22,2025-05-16 07:09:49/07:57:33,200.0,-0.006234718826405479,0.2599999999999909,-0.0004889975550124743,0.0,80.38324022346369,100.24509803921569,30.85043488100206,34.658282895344826,1.1449137349899248,159.13,49.41,169.79,50.52,70.89731051344744,2.996602259539042,34.06112469437653,4.360437074085608,98.9,99.5,49.5,49.5,49.8,49.8,12.0,OK
QUADRADO,23,2025-05-16 09:28:54/09:46:21,200.0,-0.011797752808988248,0.7700000000000102,-0.001348314606741662,0.0,77.2080229226361,100.56497175141243,17.928006983039886,18.64942392167373,1.1272742165379503,145.63,74.71,144.89,74.81,70.75842696629213,2.965538755513937,34.758426966292134,4.631391512503944,49.4,49.6,12.3,,,,,OK
QUADRADO,29,2025-05-28 10:23:15/10:51:47,100.0,-1.0272727272727258,4.289999999999992,0.0004784688995212316,12.918660287081341,47.09088785046729,100.48076923076923,18.52385398310945,19.525356409186966,1.1047635006391627,144.63,74.31,145.02,75.42,70.08133971291866,24.735875653600505,31.842105263157894,4.393936749879693,49.2,49.3,12.4,,,,,OK
RETANGULO,30,2025-05-29 13:14:59/13:47:55,195.54655870445345,-0.004354838709676897,0.1599999999999966,-0.0006854838709680056,0.0,73.81578947368422,100.40485829959513,19.55585517871639,33.39835437213267,1.188165930625529,134.98,77.09,169.79,54.37,68.49193548387096,2.4855728418407135,29.471774193548388,3.8555929296923024,98.9,49.6,12.0,,,,,OK
RETANGULO,31,2025-05-30 10:27:29/11:00:09,197.54736842105262,-0.0027972027972015447,0.3100000000000023,-3.496503496520163e-05,0.0,76.65489795918367,100.35087719298245,18.836921021008486,34.20902516808332,1.1312233637145526,143.85,84.28,169.74,61.08,69.28321678321679,2.8983113296135836,29.81118881118881,3.9192749937336564,98.7,49.5,12.2,,,,,OK
RETANGULO,32,2025-05-30 13:07:06/13:40:03,200.0,0.006013513513515342,1.3199999999999932,0.00010135135135121116,0.0,78.81274658573595,100.33898305084745,16.98707959751778,36.60359761636598,1.1411864260502638,144.95,74.37,163.57,49.69,69.12162162162163,3.359591188619467,29.972972972972972,3.967573558868162,98.9,49.3,12.2,,,,,OK
L,33,2025-06-02 09:27:38/10:23:12,150.0,-0.0025188916876554973,0.1899999999999977,0.000352644836271916,0.0,66.75566886622674,100.25252525252526,31.896213729570178,34.11731183351849,1.1343875447333618,159.88,51.25,169.79,53.02,69.21662468513854,2.552167961900772,28.856423173803528,4.028564711985342,99.1,99.7,49.4,49.4,49.7,49.7,12.0,OK
L,34,2025-06-02 14:35:16/15:23:01,199.87834549878346,0.007664233576642833,1.1699999999999875,-7.299270073003317e-05,0.0,80.35853403141361,100.2439024390244,32.703898253795366,35.19763204573857,1.1368734135286243,169.8,51.25,170.13,49.47,69.11922141119221,3.3587011684075727,31.145985401459853,4.519130305903735,98.6,99.2,49.1,49.1,49.4,49.4,12.3,OK
L,35,2025-06-03 09:00:26/09:52:34,175.06142506142507,-0.19788697788697704,2.280000000000001,0.0013267813267812357,1.2285012285012284,73.59015345268543,100.24630541871922,33.91881033783149,33.40317926344399,1.1369500332787803,169.11,49.41,166.6,49.42,69.81818181818181,7.607124197618553,29.383292383292382,4.782512888388482,98.6,99.2,49.2,49.2,49.5,49.5,12.3,OK
